transaction_amount,merchant_name,date,transaction_details
263.61,Beltran and Sons,2023-06-09,"263.61,Beltran and Sons,2023-06-09"
732.39,"Williams, Baldwin and Bryant",2023-04-04,"732.39,Williams, Baldwin and Bryant,2023-04-04"
148.23,"Johnson, Brown and Alexander",2023-01-13,"148.23,Johnson, Brown and Alexander,2023-01-13"
178.63,"Richards, Freeman and Huber",2023-01-28,"178.63,Richards, Freeman and Huber,2023-01-28"
1637.86,Martin-Fletcher,2023-05-17,"1637.86,Martin-Fletcher,2023-05-17"
257.02,"Greene, Hernandez and Wilson",2023-02-16,"257.02,Greene, Hernandez and Wilson,2023-02-16"
449.76,Wilson-Vasquez,2023-07-13,"449.76,Wilson-Vasquez,2023-07-13"
19.31,Mccarty-Gutierrez,2023-10-10,"19.31,Mccarty-Gutierrez,2023-10-10"
228.02,Banks PLC,2023-04-16,"228.02,Banks PLC,2023-04-16"
173.95,Luna-Watts,2023-07-07,"173.95,Luna-Watts,2023-07-07"
920.52,"Cole, Mcclure and Cox",2023-08-28,"920.52,Cole, Mcclure and Cox,2023-08-28"
142.39,"Roach, Callahan and Blevins",2023-08-26,"142.39,Roach, Callahan and Blevins,2023-08-26"
61.79,Cannon and Sons,2023-04-06,"61.79,Cannon and Sons,2023-04-06"
164.15,Jensen-Doyle,2023-08-16,"164.15,Jensen-Doyle,2023-08-16"
103.82,Smith-Morris,2023-09-29,"103.82,Smith-Morris,2023-09-29"
376.62,Booth PLC,2023-01-22,"376.62,Booth PLC,2023-01-22"
41.82,Snyder Ltd,2023-05-11,"41.82,Snyder Ltd,2023-05-11"
66.37,Powell and Sons,2023-05-03,"66.37,Powell and Sons,2023-05-03"
24.45,Bernard Group,2023-06-13,"24.45,Bernard Group,2023-06-13"
87.56,"Williams, Brewer and Landry",2023-09-27,"87.56,Williams, Brewer and Landry,2023-09-27"
18.0,Hawkins-Giles,2023-05-30,"18.0,Hawkins-Giles,2023-05-30"
50.04,"Gonzalez, Smith and Jennings",2023-07-06,"50.04,Gonzalez, Smith and Jennings,2023-07-06"
165.28,"Garcia, House and Allison",2023-02-04,"165.28,Garcia, House and Allison,2023-02-04"
742.48,"Butler, Williams and Rodriguez",2023-02-13,"742.48,Butler, Williams and Rodriguez,2023-02-13"
285.34,Miller Group,2023-02-19,"285.34,Miller Group,2023-02-19"
171.23,Rodriguez Ltd,2023-04-01,"171.23,Rodriguez Ltd,2023-04-01"
1014.21,Mercado PLC,2023-09-05,"1014.21,Mercado PLC,2023-09-05"
69.66,Wright-Miller,2023-03-21,"69.66,Wright-Miller,2023-03-21"
148.64,Cox-Brown,2023-01-03,"148.64,Cox-Brown,2023-01-03"
251.88,"Butler, Garcia and Martin",2023-09-07,"251.88,Butler, Garcia and Martin,2023-09-07"
56.99,Taylor-Wilson,2023-03-23,"56.99,Taylor-Wilson,2023-03-23"
88.96,"Blevins, Reed and Bauer",2023-04-26,"88.96,Blevins, Reed and Bauer,2023-04-26"
429.47,"Rivera, Hartman and Raymond",2023-07-24,"429.47,Rivera, Hartman and Raymond,2023-07-24"
154.09,Roberts Ltd,2023-03-05,"154.09,Roberts Ltd,2023-03-05"
489.92,Larson Ltd,2023-03-13,"489.92,Larson Ltd,2023-03-13"
23.27,Beltran Inc,2023-08-12,"23.27,Beltran Inc,2023-08-12"
122.33,Stevenson and Sons,2023-09-27,"122.33,Stevenson and Sons,2023-09-27"
42.12,"Patterson, Perez and Thomas",2023-08-15,"42.12,Patterson, Perez and Thomas,2023-08-15"
151.93,"Armstrong, Diaz and Garcia",2023-08-17,"151.93,Armstrong, Diaz and Garcia,2023-08-17"
75.42,Mitchell Inc,2023-05-08,"75.42,Mitchell Inc,2023-05-08"
567.41,Dominguez-Davis,2023-07-06,"567.41,Dominguez-Davis,2023-07-06"
68.29,Hernandez-Richardson,2023-08-07,"68.29,Hernandez-Richardson,2023-08-07"
359.25,"Allen, Walker and Schroeder",2023-09-04,"359.25,Allen, Walker and Schroeder,2023-09-04"
270.93,Yang-Cook,2023-03-27,"270.93,Yang-Cook,2023-03-27"
281.51,"Patton, Freeman and Morris",2023-03-26,"281.51,Patton, Freeman and Morris,2023-03-26"
163.27,Smith Ltd,2023-02-23,"163.27,Smith Ltd,2023-02-23"
351.15,Rios-Chen,2023-05-12,"351.15,Rios-Chen,2023-05-12"
474.59,"Lyons, Woods and Shannon",2023-03-04,"474.59,Lyons, Woods and Shannon,2023-03-04"
1606.35,"Ward, Gonzales and Escobar",2023-04-07,"1606.35,Ward, Gonzales and Escobar,2023-04-07"
92.56,Schwartz and Sons,2023-10-12,"92.56,Schwartz and Sons,2023-10-12"
40.09,Edwards-Harrison,2023-08-20,"40.09,Edwards-Harrison,2023-08-20"
2359.05,Rodriguez-Griffin,2023-05-04,"2359.05,Rodriguez-Griffin,2023-05-04"
453.04,Perry-Conrad,2023-07-28,"453.04,Perry-Conrad,2023-07-28"
49.0,Hahn-Farley,2023-06-12,"49.0,Hahn-Farley,2023-06-12"
37.01,Martin and Sons,2023-10-08,"37.01,Martin and Sons,2023-10-08"
180.24,Medina Ltd,2023-05-10,"180.24,Medina Ltd,2023-05-10"
83.95,Collier Group,2023-02-25,"83.95,Collier Group,2023-02-25"
74.93,"Castillo, Moore and White",2023-02-11,"74.93,Castillo, Moore and White,2023-02-11"
100.69,Ashley PLC,2023-04-19,"100.69,Ashley PLC,2023-04-19"
97.89,Johnson-Smith,2023-07-31,"97.89,Johnson-Smith,2023-07-31"
68.19,"Carey, Werner and Allen",2023-08-15,"68.19,Carey, Werner and Allen,2023-08-15"
72.83,Davis-Morgan,2023-06-29,"72.83,Davis-Morgan,2023-06-29"
367.65,Wilson-Alexander,2023-03-11,"367.65,Wilson-Alexander,2023-03-11"
18.38,Cole-Robinson,2023-09-18,"18.38,Cole-Robinson,2023-09-18"
15.94,Santos and Sons,2023-08-05,"15.94,Santos and Sons,2023-08-05"
96.71,Herrera-Aguilar,2023-02-28,"96.71,Herrera-Aguilar,2023-02-28"
215.8,Gonzales LLC,2023-03-27,"215.8,Gonzales LLC,2023-03-27"
154.23,Hamilton-Pearson,2023-08-24,"154.23,Hamilton-Pearson,2023-08-24"
253.92,"White, Reed and Young",2023-07-31,"253.92,White, Reed and Young,2023-07-31"
171.04,"Willis, Rodriguez and Watson",2023-01-12,"171.04,Willis, Rodriguez and Watson,2023-01-12"
41.03,"Hall, Stuart and Jackson",2023-05-18,"41.03,Hall, Stuart and Jackson,2023-05-18"
123.11,"Davis, Wilson and Torres",2023-04-25,"123.11,Davis, Wilson and Torres,2023-04-25"
98.91,Roberts Ltd,2023-04-28,"98.91,Roberts Ltd,2023-04-28"
2723.41,Wilson-Lawrence,2023-05-27,"2723.41,Wilson-Lawrence,2023-05-27"
125.0,Collins Inc,2023-01-01,"125.0,Collins Inc,2023-01-01"
155.12,Martinez-Zhang,2023-08-17,"155.12,Martinez-Zhang,2023-08-17"
405.71,Lara-Williams,2023-10-03,"405.71,Lara-Williams,2023-10-03"
1528.61,"Rodriguez, Frazier and Smith",2023-07-20,"1528.61,Rodriguez, Frazier and Smith,2023-07-20"
102.01,Sanchez and Sons,2023-04-14,"102.01,Sanchez and Sons,2023-04-14"
168.15,Gomez LLC,2023-04-20,"168.15,Gomez LLC,2023-04-20"
30.87,Medina Group,2023-02-05,"30.87,Medina Group,2023-02-05"
292.5,Taylor-Strickland,2023-02-23,"292.5,Taylor-Strickland,2023-02-23"
73.41,Wang-Hampton,2023-05-17,"73.41,Wang-Hampton,2023-05-17"
177.98,Aguirre PLC,2023-01-12,"177.98,Aguirre PLC,2023-01-12"
1907.62,Green-Smith,2023-07-28,"1907.62,Green-Smith,2023-07-28"
79.31,"Taylor, Moore and Raymond",2023-08-14,"79.31,Taylor, Moore and Raymond,2023-08-14"
138.79,Contreras PLC,2023-08-04,"138.79,Contreras PLC,2023-08-04"
533.95,"White, Eaton and Moore",2023-03-19,"533.95,White, Eaton and Moore,2023-03-19"
204.33,Coffey-Cuevas,2023-06-13,"204.33,Coffey-Cuevas,2023-06-13"
956.91,Robinson and Sons,2023-01-22,"956.91,Robinson and Sons,2023-01-22"
192.75,Brock-Martinez,2023-06-19,"192.75,Brock-Martinez,2023-06-19"
144.4,Martin-Fletcher,2023-01-24,"144.4,Martin-Fletcher,2023-01-24"
162.83,Phelps-Rodriguez,2023-08-26,"162.83,Phelps-Rodriguez,2023-08-26"
744.28,Wilson-Morrison,2023-10-10,"744.28,Wilson-Morrison,2023-10-10"
10.23,Jones-Lane,2023-07-17,"10.23,Jones-Lane,2023-07-17"
2900.71,Ochoa LLC,2023-10-13,"2900.71,Ochoa LLC,2023-10-13"
490.59,Pace LLC,2023-04-04,"490.59,Pace LLC,2023-04-04"
659.13,Hayes-Barry,2023-06-26,"659.13,Hayes-Barry,2023-06-26"
66.19,"Taylor, Kaufman and Pierce",2023-08-27,"66.19,Taylor, Kaufman and Pierce,2023-08-27"
262.95,"Brooks, Ware and Cruz",2023-05-15,"262.95,Brooks, Ware and Cruz,2023-05-15"
141.75,"Kennedy, Miller and Hahn",2023-06-08,"141.75,Kennedy, Miller and Hahn,2023-06-08"
304.06,Perez-White,2023-07-31,"304.06,Perez-White,2023-07-31"
93.39,"Washington, Hinton and Sparks",2023-09-08,"93.39,Washington, Hinton and Sparks,2023-09-08"
379.38,"Thomas, Escobar and Reeves",2023-05-19,"379.38,Thomas, Escobar and Reeves,2023-05-19"
70.65,Willis PLC,2023-05-15,"70.65,Willis PLC,2023-05-15"
2665.46,"Johnson, Beltran and May",2023-07-28,"2665.46,Johnson, Beltran and May,2023-07-28"
65.96,Alexander Inc,2023-04-30,"65.96,Alexander Inc,2023-04-30"
260.41,"Monroe, Mccullough and Savage",2023-07-18,"260.41,Monroe, Mccullough and Savage,2023-07-18"
12.71,"Davis, Carroll and Gonzalez",2023-05-22,"12.71,Davis, Carroll and Gonzalez,2023-05-22"
466.78,"Willis, Massey and Ortega",2023-10-01,"466.78,Willis, Massey and Ortega,2023-10-01"
547.35,"Everett, Morrow and Soto",2023-08-26,"547.35,Everett, Morrow and Soto,2023-08-26"
586.02,Diaz-Bradley,2023-01-22,"586.02,Diaz-Bradley,2023-01-22"
53.44,Jackson Group,2023-05-09,"53.44,Jackson Group,2023-05-09"
2966.49,"Torres, Jones and Jacobs",2023-01-09,"2966.49,Torres, Jones and Jacobs,2023-01-09"
2487.59,Thomas-Knapp,2023-06-04,"2487.59,Thomas-Knapp,2023-06-04"
102.47,Guerrero-Wang,2023-02-08,"102.47,Guerrero-Wang,2023-02-08"
192.53,"Patterson, Rangel and Briggs",2023-05-28,"192.53,Patterson, Rangel and Briggs,2023-05-28"
68.84,"Torres, Garcia and Wyatt",2023-05-31,"68.84,Torres, Garcia and Wyatt,2023-05-31"
17.16,Ellis and Sons,2023-02-11,"17.16,Ellis and Sons,2023-02-11"
303.57,"Brown, Riddle and Morales",2023-08-17,"303.57,Brown, Riddle and Morales,2023-08-17"
2839.52,Barrett Group,2023-07-24,"2839.52,Barrett Group,2023-07-24"
826.89,Frye PLC,2023-06-14,"826.89,Frye PLC,2023-06-14"
99.72,"Morris, Meza and Gardner",2023-07-29,"99.72,Morris, Meza and Gardner,2023-07-29"
285.33,Coleman-Campbell,2023-06-17,"285.33,Coleman-Campbell,2023-06-17"
742.03,Arnold PLC,2023-06-16,"742.03,Arnold PLC,2023-06-16"
831.63,Keller-Walker,2023-03-18,"831.63,Keller-Walker,2023-03-18"
30.34,Harris LLC,2023-02-07,"30.34,Harris LLC,2023-02-07"
173.98,Jackson-Chapman,2023-01-31,"173.98,Jackson-Chapman,2023-01-31"
180.27,Parker and Sons,2023-04-10,"180.27,Parker and Sons,2023-04-10"
212.31,Robinson Inc,2023-08-24,"212.31,Robinson Inc,2023-08-24"
56.44,Martinez and Sons,2023-06-14,"56.44,Martinez and Sons,2023-06-14"
128.48,Reyes-Mays,2023-03-22,"128.48,Reyes-Mays,2023-03-22"
155.02,"Cantu, Brown and Parsons",2023-02-07,"155.02,Cantu, Brown and Parsons,2023-02-07"
100.64,Barton-Thomas,2023-05-11,"100.64,Barton-Thomas,2023-05-11"
36.6,Brooks-Miller,2023-09-14,"36.6,Brooks-Miller,2023-09-14"
327.71,Brown-Pruitt,2023-03-26,"327.71,Brown-Pruitt,2023-03-26"
51.91,Acevedo-King,2023-03-14,"51.91,Acevedo-King,2023-03-14"
1893.59,"Kane, Parker and Smith",2023-05-19,"1893.59,Kane, Parker and Smith,2023-05-19"
1438.92,Swanson-Heath,2023-02-05,"1438.92,Swanson-Heath,2023-02-05"
161.33,Vance-Davis,2023-03-08,"161.33,Vance-Davis,2023-03-08"
461.59,"Gardner, Tucker and Brooks",2023-06-10,"461.59,Gardner, Tucker and Brooks,2023-06-10"
52.39,Costa LLC,2023-02-03,"52.39,Costa LLC,2023-02-03"
71.94,"Meyer, Evans and Reynolds",2023-03-24,"71.94,Meyer, Evans and Reynolds,2023-03-24"
116.48,"White, Goodman and Tran",2023-06-04,"116.48,White, Goodman and Tran,2023-06-04"
188.35,"Underwood, Rodriguez and Shaffer",2023-05-02,"188.35,Underwood, Rodriguez and Shaffer,2023-05-02"
767.17,"Moore, Jimenez and Krause",2023-05-24,"767.17,Moore, Jimenez and Krause,2023-05-24"
240.28,"Costa, Collins and Lynch",2023-05-13,"240.28,Costa, Collins and Lynch,2023-05-13"
61.01,Young-Hampton,2023-02-11,"61.01,Young-Hampton,2023-02-11"
210.67,Stone LLC,2023-07-07,"210.67,Stone LLC,2023-07-07"
79.79,Ramos-Thomas,2023-06-17,"79.79,Ramos-Thomas,2023-06-17"
182.19,Erickson LLC,2023-04-24,"182.19,Erickson LLC,2023-04-24"
66.37,"Luna, Shannon and Giles",2023-05-03,"66.37,Luna, Shannon and Giles,2023-05-03"
70.52,"Burnett, Bonilla and Bryant",2023-08-18,"70.52,Burnett, Bonilla and Bryant,2023-08-18"
2807.15,Jordan-Snow,2023-02-23,"2807.15,Jordan-Snow,2023-02-23"
314.86,Benton-Torres,2023-08-22,"314.86,Benton-Torres,2023-08-22"
2381.18,Lee-Alvarado,2023-08-13,"2381.18,Lee-Alvarado,2023-08-13"
290.01,"Morris, Hall and Stevens",2023-06-12,"290.01,Morris, Hall and Stevens,2023-06-12"
491.02,"Levy, Hansen and Weber",2023-07-28,"491.02,Levy, Hansen and Weber,2023-07-28"
186.53,"Brooks, Smith and Howell",2023-04-24,"186.53,Brooks, Smith and Howell,2023-04-24"
234.32,"Davis, Huff and Dunn",2023-01-20,"234.32,Davis, Huff and Dunn,2023-01-20"
54.8,"Nelson, Swanson and Sawyer",2023-07-02,"54.8,Nelson, Swanson and Sawyer,2023-07-02"
223.63,"Olsen, Smith and Crosby",2023-10-05,"223.63,Olsen, Smith and Crosby,2023-10-05"
123.56,Williams-Taylor,2023-07-10,"123.56,Williams-Taylor,2023-07-10"
166.38,"Vang, Cunningham and Reed",2023-03-06,"166.38,Vang, Cunningham and Reed,2023-03-06"
215.07,Hinton Ltd,2023-09-29,"215.07,Hinton Ltd,2023-09-29"
2811.46,Hawkins-Li,2023-07-25,"2811.46,Hawkins-Li,2023-07-25"
13.96,"Simmons, Carter and Anderson",2023-08-09,"13.96,Simmons, Carter and Anderson,2023-08-09"
15.61,Thomas LLC,2023-08-21,"15.61,Thomas LLC,2023-08-21"
264.41,Fleming-Johnson,2023-01-05,"264.41,Fleming-Johnson,2023-01-05"
473.26,"Mcdonald, Hernandez and Kane",2023-08-30,"473.26,Mcdonald, Hernandez and Kane,2023-08-30"
47.67,Barnett-Randolph,2023-10-07,"47.67,Barnett-Randolph,2023-10-07"
403.67,Lowe LLC,2023-08-26,"403.67,Lowe LLC,2023-08-26"
116.42,Campbell-Moran,2023-04-28,"116.42,Campbell-Moran,2023-04-28"
97.15,"Mcdaniel, Hall and Peterson",2023-08-27,"97.15,Mcdaniel, Hall and Peterson,2023-08-27"
91.35,"Lee, Harris and Hill",2023-08-22,"91.35,Lee, Harris and Hill,2023-08-22"
1420.47,"Nicholson, Nelson and Williams",2023-08-08,"1420.47,Nicholson, Nelson and Williams,2023-08-08"
84.73,Wade PLC,2023-07-21,"84.73,Wade PLC,2023-07-21"
221.6,Norris-Stewart,2023-02-18,"221.6,Norris-Stewart,2023-02-18"
274.85,"Stone, Arnold and Scott",2023-05-07,"274.85,Stone, Arnold and Scott,2023-05-07"
132.1,Torres-Williams,2023-06-29,"132.1,Torres-Williams,2023-06-29"
892.04,Wilson-Mcdonald,2023-09-02,"892.04,Wilson-Mcdonald,2023-09-02"
367.61,"Santana, Miller and Berry",2023-09-05,"367.61,Santana, Miller and Berry,2023-09-05"
19.61,Lloyd and Sons,2023-05-25,"19.61,Lloyd and Sons,2023-05-25"
72.1,"Garcia, Smith and Anderson",2023-07-28,"72.1,Garcia, Smith and Anderson,2023-07-28"
145.02,Fisher-Sims,2023-05-06,"145.02,Fisher-Sims,2023-05-06"
859.79,Dixon PLC,2023-07-12,"859.79,Dixon PLC,2023-07-12"
488.13,"Martinez, Vargas and Nunez",2023-06-11,"488.13,Martinez, Vargas and Nunez,2023-06-11"
424.29,"Wallace, Silva and Bailey",2023-07-23,"424.29,Wallace, Silva and Bailey,2023-07-23"
77.98,Oneal Ltd,2023-09-05,"77.98,Oneal Ltd,2023-09-05"
900.68,Bauer Group,2023-04-14,"900.68,Bauer Group,2023-04-14"
77.26,Holland and Sons,2023-02-24,"77.26,Holland and Sons,2023-02-24"
973.72,Harrison Inc,2023-09-25,"973.72,Harrison Inc,2023-09-25"
138.18,Mahoney Ltd,2023-08-26,"138.18,Mahoney Ltd,2023-08-26"
691.13,"Jackson, Williams and Ingram",2023-01-18,"691.13,Jackson, Williams and Ingram,2023-01-18"
34.46,Johnson LLC,2023-03-08,"34.46,Johnson LLC,2023-03-08"
190.48,Taylor-Little,2023-09-26,"190.48,Taylor-Little,2023-09-26"
54.64,Davis Ltd,2023-09-23,"54.64,Davis Ltd,2023-09-23"
415.53,"Boyer, Rice and Watkins",2023-10-01,"415.53,Boyer, Rice and Watkins,2023-10-01"
1890.65,"Santana, Dunn and Aguilar",2023-08-07,"1890.65,Santana, Dunn and Aguilar,2023-08-07"
174.06,"White, Ross and Jones",2023-08-28,"174.06,White, Ross and Jones,2023-08-28"
814.46,"Edwards, Rogers and Parker",2023-09-12,"814.46,Edwards, Rogers and Parker,2023-09-12"
53.79,Nolan LLC,2023-07-06,"53.79,Nolan LLC,2023-07-06"
2916.65,"Gibbs, Robinson and Jensen",2023-02-20,"2916.65,Gibbs, Robinson and Jensen,2023-02-20"
926.85,Perry Group,2023-03-01,"926.85,Perry Group,2023-03-01"
786.58,"Yoder, Wagner and Anderson",2023-08-15,"786.58,Yoder, Wagner and Anderson,2023-08-15"
1743.77,Andrews-Haas,2023-01-28,"1743.77,Andrews-Haas,2023-01-28"
683.81,"Barrett, Irwin and Scott",2023-04-06,"683.81,Barrett, Irwin and Scott,2023-04-06"
116.84,"Walsh, Gonzalez and Johnson",2023-09-28,"116.84,Walsh, Gonzalez and Johnson,2023-09-28"
2804.2,Galvan LLC,2023-05-08,"2804.2,Galvan LLC,2023-05-08"
311.45,Williams Group,2023-05-23,"311.45,Williams Group,2023-05-23"
97.4,Frank Inc,2023-04-09,"97.4,Frank Inc,2023-04-09"
16.25,"Jackson, Davis and Adkins",2023-07-28,"16.25,Jackson, Davis and Adkins,2023-07-28"
2410.11,"Perry, Miller and Adkins",2023-07-26,"2410.11,Perry, Miller and Adkins,2023-07-26"
16.19,Torres-Lee,2023-05-23,"16.19,Torres-Lee,2023-05-23"
50.81,"Owens, Conway and Underwood",2023-06-17,"50.81,Owens, Conway and Underwood,2023-06-17"
620.93,"Mcbride, Trujillo and Wu",2023-01-27,"620.93,Mcbride, Trujillo and Wu,2023-01-27"
106.26,King Ltd,2023-09-19,"106.26,King Ltd,2023-09-19"
413.88,"Robles, Castro and Pearson",2023-07-04,"413.88,Robles, Castro and Pearson,2023-07-04"
102.53,"Wise, Thompson and Patrick",2023-09-10,"102.53,Wise, Thompson and Patrick,2023-09-10"
12.21,Johnson-White,2023-06-04,"12.21,Johnson-White,2023-06-04"
76.71,"Carter, Wallace and Ramirez",2023-08-03,"76.71,Carter, Wallace and Ramirez,2023-08-03"
15.98,"Smith, Thomas and Jordan",2023-02-05,"15.98,Smith, Thomas and Jordan,2023-02-05"
182.2,Lee-Carpenter,2023-08-16,"182.2,Lee-Carpenter,2023-08-16"
56.48,"Orozco, Campbell and Horton",2023-01-30,"56.48,Orozco, Campbell and Horton,2023-01-30"
235.93,Wright-King,2023-02-10,"235.93,Wright-King,2023-02-10"
1165.53,"Mercado, Scott and Villa",2023-02-09,"1165.53,Mercado, Scott and Villa,2023-02-09"
982.22,Crawford-French,2023-05-22,"982.22,Crawford-French,2023-05-22"
204.87,"Ellison, Garcia and Hudson",2023-08-06,"204.87,Ellison, Garcia and Hudson,2023-08-06"
66.76,"Juarez, Moore and Blackwell",2023-05-27,"66.76,Juarez, Moore and Blackwell,2023-05-27"
54.12,"Wong, Barton and Oconnor",2023-08-09,"54.12,Wong, Barton and Oconnor,2023-08-09"
1326.29,Becker-Becker,2023-06-16,"1326.29,Becker-Becker,2023-06-16"
217.59,"Downs, Shepherd and Barton",2023-02-24,"217.59,Downs, Shepherd and Barton,2023-02-24"
2776.19,Cook PLC,2023-10-07,"2776.19,Cook PLC,2023-10-07"
1573.94,Dickerson-Hernandez,2023-05-04,"1573.94,Dickerson-Hernandez,2023-05-04"
100.49,Wolf Inc,2023-08-22,"100.49,Wolf Inc,2023-08-22"
187.05,"Eaton, Henderson and Hansen",2023-10-07,"187.05,Eaton, Henderson and Hansen,2023-10-07"
96.49,Dawson Inc,2023-01-04,"96.49,Dawson Inc,2023-01-04"
2641.13,Fleming LLC,2023-10-07,"2641.13,Fleming LLC,2023-10-07"
158.82,"Kim, Oliver and Wiley",2023-05-31,"158.82,Kim, Oliver and Wiley,2023-05-31"
237.95,Browning PLC,2023-04-25,"237.95,Browning PLC,2023-04-25"
1206.63,Garcia-Byrd,2023-06-25,"1206.63,Garcia-Byrd,2023-06-25"
160.04,Scott-Huffman,2023-01-21,"160.04,Scott-Huffman,2023-01-21"
659.13,"Wolf, Woodward and Powell",2023-09-05,"659.13,Wolf, Woodward and Powell,2023-09-05"
365.59,Scott-Garcia,2023-07-03,"365.59,Scott-Garcia,2023-07-03"
11.35,Poole-Miller,2023-06-14,"11.35,Poole-Miller,2023-06-14"
879.63,"Preston, Galloway and Davis",2023-07-07,"879.63,Preston, Galloway and Davis,2023-07-07"
213.53,Mclean Group,2023-06-27,"213.53,Mclean Group,2023-06-27"
146.88,Scott-Reyes,2023-02-25,"146.88,Scott-Reyes,2023-02-25"
214.43,Massey-Meyer,2023-01-07,"214.43,Massey-Meyer,2023-01-07"
211.58,"Oliver, Williams and Hill",2023-08-25,"211.58,Oliver, Williams and Hill,2023-08-25"
229.2,"Bell, Soto and Garrett",2023-06-19,"229.2,Bell, Soto and Garrett,2023-06-19"
276.9,Berg-James,2023-08-13,"276.9,Berg-James,2023-08-13"
2046.74,Fisher-Huber,2023-08-22,"2046.74,Fisher-Huber,2023-08-22"
674.0,"Johnson, Peters and Salinas",2023-01-22,"674.0,Johnson, Peters and Salinas,2023-01-22"
135.92,"Gallegos, Malone and Raymond",2023-01-25,"135.92,Gallegos, Malone and Raymond,2023-01-25"
22.13,"Valdez, Thomas and Little",2023-03-09,"22.13,Valdez, Thomas and Little,2023-03-09"
25.34,Holmes-Chapman,2023-10-04,"25.34,Holmes-Chapman,2023-10-04"
291.89,Flores-Turner,2023-01-06,"291.89,Flores-Turner,2023-01-06"
320.56,Cochran-Gibson,2023-03-04,"320.56,Cochran-Gibson,2023-03-04"
65.42,"Delacruz, Brown and Reed",2023-05-17,"65.42,Delacruz, Brown and Reed,2023-05-17"
377.96,"Bradley, Green and Wilkerson",2023-01-01,"377.96,Bradley, Green and Wilkerson,2023-01-01"
473.99,"Scott, Gordon and Lee",2023-03-19,"473.99,Scott, Gordon and Lee,2023-03-19"
16.31,Thomas LLC,2023-04-27,"16.31,Thomas LLC,2023-04-27"
595.97,Jones Inc,2023-01-06,"595.97,Jones Inc,2023-01-06"
2694.06,Baxter-Salazar,2023-06-06,"2694.06,Baxter-Salazar,2023-06-06"
386.53,Mccann-Moss,2023-01-23,"386.53,Mccann-Moss,2023-01-23"
166.93,Oconnor-Watkins,2023-08-23,"166.93,Oconnor-Watkins,2023-08-23"
210.09,"Smith, Fernandez and Castillo",2023-09-18,"210.09,Smith, Fernandez and Castillo,2023-09-18"
612.44,Reed-Murray,2023-01-12,"612.44,Reed-Murray,2023-01-12"
63.45,"Bridges, Gomez and Kline",2023-04-21,"63.45,Bridges, Gomez and Kline,2023-04-21"
227.14,"Noble, Bell and Brown",2023-01-07,"227.14,Noble, Bell and Brown,2023-01-07"
946.29,Fleming-Miller,2023-05-20,"946.29,Fleming-Miller,2023-05-20"
2653.5,"Lambert, Howard and Gray",2023-07-03,"2653.5,Lambert, Howard and Gray,2023-07-03"
333.02,Stewart-Davis,2023-08-30,"333.02,Stewart-Davis,2023-08-30"
485.39,Williams-Harding,2023-03-17,"485.39,Williams-Harding,2023-03-17"
2490.11,Gray LLC,2023-05-19,"2490.11,Gray LLC,2023-05-19"
901.07,"Moore, Andrade and Barton",2023-07-12,"901.07,Moore, Andrade and Barton,2023-07-12"
133.02,Marshall PLC,2023-04-24,"133.02,Marshall PLC,2023-04-24"
103.69,Mendoza PLC,2023-05-06,"103.69,Mendoza PLC,2023-05-06"
49.59,Reed Inc,2023-03-23,"49.59,Reed Inc,2023-03-23"
57.75,Park-Branch,2023-07-15,"57.75,Park-Branch,2023-07-15"
163.71,Russell Inc,2023-08-27,"163.71,Russell Inc,2023-08-27"
88.39,Allen Ltd,2023-07-20,"88.39,Allen Ltd,2023-07-20"
1933.35,Jacobs-Collins,2023-08-17,"1933.35,Jacobs-Collins,2023-08-17"
1283.52,"Leblanc, Pierce and Nelson",2023-08-12,"1283.52,Leblanc, Pierce and Nelson,2023-08-12"
237.75,Thomas Ltd,2023-09-06,"237.75,Thomas Ltd,2023-09-06"
52.9,Terrell Inc,2023-08-28,"52.9,Terrell Inc,2023-08-28"
85.73,Herrera Group,2023-08-05,"85.73,Herrera Group,2023-08-05"
82.38,"Jones, Case and Carlson",2023-03-15,"82.38,Jones, Case and Carlson,2023-03-15"
2084.88,Patton-Cain,2023-03-28,"2084.88,Patton-Cain,2023-03-28"
709.91,Hendrix-Martin,2023-01-14,"709.91,Hendrix-Martin,2023-01-14"
22.7,Hodges-Kim,2023-07-23,"22.7,Hodges-Kim,2023-07-23"
900.62,Torres-Herrera,2023-07-18,"900.62,Torres-Herrera,2023-07-18"
871.12,French-Williams,2023-03-19,"871.12,French-Williams,2023-03-19"
100.55,Herrera-Mcfarland,2023-04-09,"100.55,Herrera-Mcfarland,2023-04-09"
586.0,Richardson Group,2023-02-12,"586.0,Richardson Group,2023-02-12"
19.09,Scott Group,2023-06-11,"19.09,Scott Group,2023-06-11"
10.52,Medina PLC,2023-02-04,"10.52,Medina PLC,2023-02-04"
163.41,Bryant-Bell,2023-09-21,"163.41,Bryant-Bell,2023-09-21"
153.96,Rodriguez PLC,2023-05-30,"153.96,Rodriguez PLC,2023-05-30"
185.55,Williams-Arellano,2023-09-10,"185.55,Williams-Arellano,2023-09-10"
64.59,"Jordan, Rodriguez and Martinez",2023-01-20,"64.59,Jordan, Rodriguez and Martinez,2023-01-20"
